"","Alectoris rufa","Cervus elaphus","Chloris chloris","Columba palumbus","Curruca communis","Curruca conspicillata","Curruca hortensis","Curruca iberiae","Curruca melanocephala","Curruca undata","Cyanopica cooki","Dama dama","Eliomys quercinus","Erithacus rubecula","Ficedula hypoleuca","Fringilla coelebs","Luscinia megarhynchos","Mus spretus","Muscicapa striata","Parus major","Phoenicurus ochruros","Phoenicurus phoenicurus","Psammodromus algirus","Pyrrhula pyrrhula","Rattus rattus","Saxicola rubicola","Sturnus unicolor","Sturnus vulgaris","Sturnus vulgaris/unicolor","Sylvia atricapilla","Sylvia borin","Turdus merula","Turdus philomelos","Turdus torquatus","Turdus viscivorus"
"Asparagus spp",0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Corema album",1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Daphne gnidium",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ficus carica",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Frangula alnus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Juniperus phoenicea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lonicera periclymenum",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Myrtus communis",0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"Olea europaea",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0
"Phillyrea angustifolia",0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0
"Pistacia lentiscus",1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0
"Rhamnus lycioides",0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"Rubia peregrina",0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"Rubus ulmifolius",1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0
"Smilax aspera",0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0
