"","Aegithalos caudatus","Curruca communis","Curruca iberiae","Curruca melanocephala","Curruca undata","Cyanopica cooki","Erithacus rubecula","Phoenicurus phoenicurus","Sylvia atricapilla","Sylvia borin","Turdus merula"
"Asparagus spp",0,0,0,1,0,0,0,0,1,1,0
"Corema album",0,0,0,1,0,0,0,0,0,0,0
"Crataegus monogyna",0,0,0,0,0,0,0,0,1,0,0
"Daphne gnidium",0,0,0,1,0,0,0,0,1,0,0
"Myrtus communis",0,0,0,1,0,1,1,0,1,1,1
"Olea europaea",0,0,0,1,0,0,1,0,1,0,0
"Phillyrea angustifolia",0,1,1,1,0,1,1,1,1,1,1
"Pistacia lentiscus",0,1,1,1,1,1,1,1,1,1,1
"Rhamnus lycioides",1,1,0,1,0,1,0,0,1,1,1
"Rubia peregrina",0,0,0,1,0,0,0,0,1,1,0
"Rubus ulmifolius",0,0,0,1,0,0,0,0,1,1,1
"Smilax aspera",0,0,0,0,0,0,0,0,1,1,0
"Solanum nigrum",0,0,0,1,0,0,0,0,1,0,0
