run,focal_site,plant,category,candidates,deterministic,expected,sd,share
B-degree,Rocky coastal 1,Allium sp.,locally absent,46,1,3.193562017212079,1.68790389312966,0.06942526124374085
B-degree,Rocky coastal 1,Allium sp.,locally unique,46,3,1.2498123226609545,1.0393970673702544,0.0271698331013251
B-degree,Rocky coastal 1,Allium sp.,model-elusive,46,0,0.9641633121906245,0.9340401542729527,0.02096007200414401
B-degree,Rocky coastal 1,Allium sp.,phantom,46,3,7.779055080971734,2.4925910301619667,0.16910989306460292
B-degree,Rocky coastal 1,Allium sp.,possibly forbidden,46,30,28.028630199877437,2.964598380596755,0.6093180478234226
B-degree,Rocky coastal 1,Allium sp.,possibly missing,46,0,1.1808842488316567,1.0580379915173492,0.025671396713731667
B-degree,Rocky coastal 1,Allium sp.,recurrent,46,0,0.5962502758776078,0.7151608308570763,0.01296196251907843
B-degree,Rocky coastal 1,Allium sp.,weakly-supported,46,9,3.0076425423779063,1.5124749958610073,0.06538353352995449
B-degree,Rocky coastal 1,Astragalus balearicus,locally absent,46,0,0,0,0
B-degree,Rocky coastal 1,Astragalus balearicus,locally unique,46,2,0,0,0
B-degree,Rocky coastal 1,Astragalus balearicus,model-elusive,46,0,0,0,0
B-degree,Rocky coastal 1,Astragalus balearicus,phantom,46,1,7.002955374523144,2.3365682624051423,0.15223816031572052
B-degree,Rocky coastal 1,Astragalus balearicus,possibly forbidden,46,40,38.99704462547685,2.3365682624051423,0.8477618396842794
B-degree,Rocky coastal 1,Astragalus balearicus,possibly missing,46,0,0,0,0
B-degree,Rocky coastal 1,Astragalus balearicus,recurrent,46,0,0,0,0
B-degree,Rocky coastal 1,Astragalus balearicus,weakly-supported,46,3,0,0,0
B-degree,Rocky coastal 1,Daucus carota,locally absent,46,0,2.475724036822772,1.4539147070473943,0.053820087757016785
B-degree,Rocky coastal 1,Daucus carota,locally unique,46,23,2.1320549330557452,1.3428450812020623,0.04634902028382055
B-degree,Rocky coastal 1,Daucus carota,model-elusive,46,0,7.577733568923477,2.350441778976501,0.16473333845485819
B-degree,Rocky coastal 1,Daucus carota,phantom,46,7,5.650536664953896,1.8223422542811063,0.12283775358595427
B-degree,Rocky coastal 1,Daucus carota,possibly forbidden,46,0,4.125228257203901,1.648046953445419,0.08967887515660654
B-degree,Rocky coastal 1,Daucus carota,possibly missing,46,3,4.749182101824514,1.8293576473520712,0.10324308917009814
B-degree,Rocky coastal 1,Daucus carota,recurrent,46,13,17.838501955689065,2.585072360484418,0.3877935207758492
B-degree,Rocky coastal 1,Daucus carota,weakly-supported,46,0,1.4510384815266302,1.128281549572396,0.03154431481579631
B-degree,Rocky coastal 1,Dorycnium fulgurans,locally absent,46,0,0,0,0
B-degree,Rocky coastal 1,Dorycnium fulgurans,locally unique,46,3,0,0,0
B-degree,Rocky coastal 1,Dorycnium fulgurans,model-elusive,46,0,0,0,0
B-degree,Rocky coastal 1,Dorycnium fulgurans,phantom,46,0,6.944626140353225,2.3492952715483364,0.15097013348593966
B-degree,Rocky coastal 1,Dorycnium fulgurans,possibly forbidden,46,41,39.05537385964678,2.3492952715483364,0.8490298665140604
B-degree,Rocky coastal 1,Dorycnium fulgurans,possibly missing,46,0,0,0,0
B-degree,Rocky coastal 1,Dorycnium fulgurans,recurrent,46,0,0,0,0
B-degree,Rocky coastal 1,Dorycnium fulgurans,weakly-supported,46,2,0,0,0
B-degree,Rocky coastal 1,Euphorbia dendroides,locally absent,46,7,13.943301096800353,2.7319237848434623,0.3031152412347903
B-degree,Rocky coastal 1,Euphorbia dendroides,locally unique,46,0,0.19597445551330545,0.43959943801801865,0.004260314250289249
B-degree,Rocky coastal 1,Euphorbia dendroides,model-elusive,46,3,7.317179115325944,1.9947839630149695,0.1590691112027379
B-degree,Rocky coastal 1,Euphorbia dendroides,phantom,46,2,2.3689494014802386,1.4670123464387275,0.0514989000321791
B-degree,Rocky coastal 1,Euphorbia dendroides,possibly forbidden,46,28,15.123824369072231,2.3265309986006777,0.32877879063200505
B-degree,Rocky coastal 1,Euphorbia dendroides,possibly missing,46,1,3.260048986023717,1.6746447794126171,0.07087063013095038
B-degree,Rocky coastal 1,Euphorbia dendroides,recurrent,46,2,2.736622747742002,1.3578106782743973,0.05949179886395657
B-degree,Rocky coastal 1,Euphorbia dendroides,weakly-supported,46,3,1.054099828042208,0.9645774830661323,0.02291521365309148
B-degree,Rocky coastal 1,Helichrysum stoechas,locally absent,46,6,13.095554573427714,2.678636096813742,0.284685968987559
B-degree,Rocky coastal 1,Helichrysum stoechas,locally unique,46,1,0.4367031229204748,0.6472236911908656,0.009493546150445105
B-degree,Rocky coastal 1,Helichrysum stoechas,model-elusive,46,2,7.5404570216927675,2.1612803543983357,0.16392297873245146
B-degree,Rocky coastal 1,Helichrysum stoechas,phantom,46,1,2.618455601070566,1.525203661282925,0.05692294784936013
B-degree,Rocky coastal 1,Helichrysum stoechas,possibly forbidden,46,27,13.247379674218472,2.287010868658518,0.2879865146569233
B-degree,Rocky coastal 1,Helichrysum stoechas,possibly missing,46,1,3.5945787710245387,1.7578297057089818,0.07814301676140302
B-degree,Rocky coastal 1,Helichrysum stoechas,recurrent,46,2,3.520009065294611,1.542202423382812,0.07652193620205676
B-degree,Rocky coastal 1,Helichrysum stoechas,weakly-supported,46,6,1.9468621703508557,1.2372103306026117,0.042323090659801214
B-degree,Rocky coastal 1,Lonicera implexa,locally absent,46,1,4.748571845801411,1.9959402981029968,0.10322982273481329
B-degree,Rocky coastal 1,Lonicera implexa,locally unique,46,0,0.11387559276595084,0.3345854641420639,0.002475556364477192
B-degree,Rocky coastal 1,Lonicera implexa,model-elusive,46,1,0.14928102491764395,0.3829189337357665,0.0032452396721226943
B-degree,Rocky coastal 1,Lonicera implexa,phantom,46,3,4.307028596727872,1.939176849377702,0.09363105645060592
B-degree,Rocky coastal 1,Lonicera implexa,possibly forbidden,46,41,35.04847754596493,2.671770814053744,0.761923424912281
B-degree,Rocky coastal 1,Lonicera implexa,possibly missing,46,0,1.0240782626639235,0.9571515695098398,0.022262570927476598
B-degree,Rocky coastal 1,Lonicera implexa,recurrent,46,0,0.04564398325292892,0.21259902393074315,9.922605054984547e-4
B-degree,Rocky coastal 1,Lonicera implexa,weakly-supported,46,0,0.5630431479053408,0.7236642044089483,0.0122400684327248
B-degree,Rocky coastal 1,Ruta chalepensis,locally absent,46,1,4.524448143013848,1.953819094996368,0.098357568326388
B-degree,Rocky coastal 1,Ruta chalepensis,locally unique,46,0,0.2214121019900129,0.4561578317512153,0.004813306565000281
B-degree,Rocky coastal 1,Ruta chalepensis,model-elusive,46,0,0.4455339137347783,0.5985069098803134,0.009685519863799529
B-degree,Rocky coastal 1,Ruta chalepensis,phantom,46,2,4.446909802497277,1.9669248168586986,0.09667195222820169
B-degree,Rocky coastal 1,Ruta chalepensis,possibly forbidden,46,41,34.46322371038526,2.674619307089144,0.7492005154431578
B-degree,Rocky coastal 1,Ruta chalepensis,possibly missing,46,0,0.8870821237201253,0.9117968384151048,0.019284393993915766
B-degree,Rocky coastal 1,Ruta chalepensis,recurrent,46,1,0.24247746286370905,0.4469024031723632,0.005271249192689328
B-degree,Rocky coastal 1,Ruta chalepensis,weakly-supported,46,1,0.7689127417949949,0.8156766221560858,0.016715494386847714
B-degree,Rocky coastal 1,Salvia rosmarinus,locally absent,46,2,8.149806945833761,2.4243590657993797,0.17716971621377742
B-degree,Rocky coastal 1,Salvia rosmarinus,locally unique,46,1,0.2622513595155623,0.501662068259862,0.0057011165112078755
B-degree,Rocky coastal 1,Salvia rosmarinus,model-elusive,46,1,1.1492990840628297,0.9255015744939966,0.024984762697018038
B-degree,Rocky coastal 1,Salvia rosmarinus,phantom,46,1,3.782374646021043,1.8468841336057802,0.08222553578306614
B-degree,Rocky coastal 1,Salvia rosmarinus,possibly forbidden,46,39,29.356126192568002,2.834151657021588,0.638176656360174
B-degree,Rocky coastal 1,Salvia rosmarinus,possibly missing,46,1,1.6961248438320977,1.2237116807238406,0.036872279213741255
B-degree,Rocky coastal 1,Salvia rosmarinus,recurrent,46,0,0.4573580644144653,0.596523894404521,0.009942566617705767
B-degree,Rocky coastal 1,Salvia rosmarinus,weakly-supported,46,1,1.146658863752237,0.9968777498649776,0.0249273666033095
B-degree,Rocky coastal 1,Sedum sediforme,locally absent,46,4,12.761697791657792,2.696061073771925,0.2774282128621259
B-degree,Rocky coastal 1,Sedum sediforme,locally unique,46,0,0.21005263712472058,0.45475052380677616,0.00456636167662436
B-degree,Rocky coastal 1,Sedum sediforme,model-elusive,46,1,2.723254903597301,1.369688005865126,0.05920119355646306
B-degree,Rocky coastal 1,Sedum sediforme,phantom,46,2,2.9557429523053074,1.6433873602231073,0.0642552815718545
B-degree,Rocky coastal 1,Sedum sediforme,possibly forbidden,46,36,22.518298649008848,2.7394707025224707,0.48952823150019237
B-degree,Rocky coastal 1,Sedum sediforme,possibly missing,46,0,2.5832723380500235,1.4895104962255763,0.056158094305435294
B-degree,Rocky coastal 1,Sedum sediforme,recurrent,46,1,0.9020832736951799,0.8217488756792688,0.019610505949895215
B-degree,Rocky coastal 1,Sedum sediforme,weakly-supported,46,2,1.3455974545608307,1.0777040302091327,0.029252118577409364
B-degree,Rocky coastal 1,Teucrium capitatum,locally absent,46,5,6.112638798655173,1.9804466857148006,0.13288345214467767
B-degree,Rocky coastal 1,Teucrium capitatum,locally unique,46,1,0.2668548955172658,0.5083842750965184,0.005801193380810127
B-degree,Rocky coastal 1,Teucrium capitatum,model-elusive,46,6,16.378673898066644,2.7487030347208905,0.3560581282188401
B-degree,Rocky coastal 1,Teucrium capitatum,phantom,46,5,2.5315771911897684,1.395988556617913,0.055034286764994965
B-degree,Rocky coastal 1,Teucrium capitatum,possibly forbidden,46,12,6.17089706827546,1.6210141477331022,0.13414993626685784
B-degree,Rocky coastal 1,Teucrium capitatum,possibly missing,46,4,2.8708250538227205,1.5323112354961994,0.062409240300493926
B-degree,Rocky coastal 1,Teucrium capitatum,recurrent,46,11,10.933617480846364,2.500898770789997,0.23768733654013835
B-degree,Rocky coastal 1,Teucrium capitatum,weakly-supported,46,2,0.7349156136266043,0.8148863398794877,0.01597642638318705
B-uniform,Rocky coastal 1,Allium sp.,locally absent,46,1,8.892081731460925,2.580705949342485,0.19330612459697663
B-uniform,Rocky coastal 1,Allium sp.,locally unique,46,3,2.9131544708826342,1.5771474935008478,0.0633294450191877
B-uniform,Rocky coastal 1,Allium sp.,model-elusive,46,0,6.524518856028975,2.2786805383117397,0.1418373664354125
B-uniform,Rocky coastal 1,Allium sp.,phantom,46,3,3.162622573713057,1.687465589954002,0.06875266464593602
B-uniform,Rocky coastal 1,Allium sp.,possibly forbidden,46,30,11.358018956586692,2.779148694465278,0.24691345557797156
B-uniform,Rocky coastal 1,Allium sp.,possibly missing,46,0,2.476671662383601,1.5112236715866125,0.05384068831268698
B-uniform,Rocky coastal 1,Allium sp.,recurrent,46,0,2.2535532213626603,1.4148524092680386,0.0489902874209274
B-uniform,Rocky coastal 1,Allium sp.,weakly-supported,46,9,8.419378527581456,2.485528718238111,0.1830299679909012
B-uniform,Rocky coastal 1,Astragalus balearicus,locally absent,46,0,11.384667118067336,2.8719307996435943,0.24749276343624643
B-uniform,Rocky coastal 1,Astragalus balearicus,locally unique,46,2,1.5091832578905646,1.1742941908495115,0.03280833169327314
B-uniform,Rocky coastal 1,Astragalus balearicus,model-elusive,46,0,5.54939046803113,2.1621930433551793,0.12063892321806804
B-uniform,Rocky coastal 1,Astragalus balearicus,phantom,46,1,2.4528121996962438,1.4998871580257642,0.05332200434122269
B-uniform,Rocky coastal 1,Astragalus balearicus,possibly forbidden,46,40,14.832816163313147,3.08355969912473,0.32245252528941626
